NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Creatina Creapure Premium (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/creatina-creapure-premium-300g-pura-vida,Creatinas,0,0,0,0,0,0,0,0,0
Curcumagic (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/curcumagic-30-capsulas-pura-vida,Vitaminas e Minerais,0.78 ,0,0,0,0.2,0,0,0,0
Pura Fiber (250g) - Pura Vida,https://www.corpoevidasuplementos.com.br/pura-fiber-250g-pura-vida,Enzimas,8 ,0,0,0,0,0,6.8,0,8.0
"Blue Calm Sabor Limão, Camomila, Maracujá e Spirulina Azul (250g) - Pura Vida",https://www.corpoevidasuplementos.com.br/blue-calm-sabor-limao-camomila-maracuja-e-spirulina-azul-250g-pura-vida,Bem-Estar,0,0,0.2,0,0,0,0,0.1,0
Bio Trimag (60 Caps.) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-trimag-60-caps-pura-vida,Vitaminas e Minerais,6,22,0,0.9,1.7,0,0,0,0
Alpha Metabolicus (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-metabolicus-60-capsulas-pura-vida,Vitaminas e Minerais,2.1 ,9,0,0,0.7,0,0,0,0
Brain Focus (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/brain-focus-30-capsulas-pura-vida,Vitaminas e Minerais,0,0,0,0.6,1.2,0,0,0,0
Alpha Mater (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-mater-60-capsulas-pura-vida,Multivitaminicos,2.26,8,0,0,0.5,0,0,0,0
Alpha Kids (150 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-kids-150-capsulas-pura-vida,Vitaminas e Minerais,1.12 ,0,0,0.0,0.0,0,0,0,0
Purabiotics (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/purabiotics-30-capsulas-pura-vida,Probióticos,1.9 ,0,0,0,0,0,0,0,0
